,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_reduce_dim,param_reduce_dim__n_components,param_vect__min_df,param_clf__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.938392066955567,0.08292474221161514,0.2890612602233887,0.029940332395529495,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0)",10,"TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0)",50,3,,"{'clf': LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0), 'clf__C': 10, 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 3}",0.8637803590285111,0.853220696937698,0.8382663847780126,0.8509513742071881,0.8710359408033826,0.8554509511509585,0.011249893208485686,3
1,5.755062103271484,0.0891684397686585,0.2689363956451416,0.009736700423030148,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0)",10,"TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0)",50,5,,"{'clf': LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0), 'clf__C': 10, 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 5}",0.8585005279831045,0.8479408658922915,0.8403805496828752,0.8424947145877378,0.857293868921776,0.8493221054135569,0.007433235651916651,6
2,22.005063819885255,3.2445545279389014,0.37793736457824706,0.027894639180043545,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0)",10,"NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)",50,3,,"{'clf': LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0), 'clf__C': 10, 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0), 'reduce_dim__n_components': 50, 'vect__min_df': 3}",0.7983104540654699,0.8078141499472017,0.7758985200845666,0.7959830866807611,0.8118393234672304,0.797969106849046,0.012493833493362312,12
3,19.455585193634032,4.218878381465515,0.3458362579345703,0.015022908139137347,"LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0)",10,"NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)",50,5,,"{'clf': LinearSVC(C=1.0, class_weight=None, dual=True, fit_intercept=True,
          intercept_scaling=1, loss='squared_hinge', max_iter=1000,
          multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
          verbose=0), 'clf__C': 10, 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0), 'reduce_dim__n_components': 50, 'vect__min_df': 5}",0.8141499472016895,0.7983104540654699,0.7938689217758985,0.7980972515856237,0.813953488372093,0.803676012600155,0.008618824021426564,10
4,0.595582914352417,0.018544122098774565,0.27014865875244143,0.012626291641310664,"GaussianNB(priors=None, var_smoothing=1e-09)",,"TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0)",50,3,,"{'clf': GaussianNB(priors=None, var_smoothing=1e-09), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 3}",0.7032734952481521,0.7391763463569165,0.6701902748414377,0.7071881606765328,0.7198731501057083,0.7079402854457495,0.022651678451194503,14
5,0.5125754356384278,0.025292121488020465,0.2668618202209473,0.012516643399513062,"GaussianNB(priors=None, var_smoothing=1e-09)",,"TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0)",50,5,,"{'clf': GaussianNB(priors=None, var_smoothing=1e-09), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=2, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 5}",0.6937697993664202,0.747624076029567,0.6828752642706131,0.7093023255813954,0.7209302325581395,0.710900339561227,0.022497313060967118,13
6,0.6064270973205567,0.043028058015868405,0.3753288745880127,0.01854567381169657,"GaussianNB(priors=None, var_smoothing=1e-09)",,"NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)",50,3,,"{'clf': GaussianNB(priors=None, var_smoothing=1e-09), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0), 'reduce_dim__n_components': 50, 'vect__min_df': 3}",0.665258711721225,0.6958817317845829,0.678646934460888,0.6754756871035941,0.7019027484143763,0.6834331626969332,0.01351023712388862,15
7,0.5112034797668457,0.022367892304268222,0.3510162353515625,0.013444739098391025,"GaussianNB(priors=None, var_smoothing=1e-09)",,"NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)",50,5,,"{'clf': GaussianNB(priors=None, var_smoothing=1e-09), 'reduce_dim': NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0), 'reduce_dim__n_components': 50, 'vect__min_df': 5}",0.689545934530095,0.6715945089757128,0.6627906976744186,0.6564482029598309,0.6765327695560254,0.6713824227392166,0.01143094811020135,16
8,1.8157032012939454,0.07032479285122302,0.27051591873168945,0.01319870607017134,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",,"TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
             random_state=None, tol=0.0)",50,3,l1,"{'clf': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False), 'clf__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 3}",0.8616684266103485,0.8521647307286166,0.8393234672304439,0.8594080338266384,0.8699788583509513,0.8565087033493999,0.010302197587952026,1
9,1.6584494590759278,0.10203963345823562,0.2586488723754883,0.018872990524358823,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False)",,"TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
             random_state=None, tol=0.0)",50,5,l1,"{'clf': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
                   intercept_scaling=1, l1_ratio=None, max_iter=100,
                   multi_class='auto', n_jobs=None, penalty='l1',
                   random_state=None, solver='liblinear', tol=0.0001, verbose=0,
                   warm_start=False), 'clf__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
             random_state=None, tol=0.0), 'reduce_dim__n_components': 50, 'vect__min_df': 5}",0.8637803590285111,0.8500527983104541,0.8414376321353065,0.854122621564482,0.857293868921776,0.8533374559921059,0.007452767217381103,4
